Algorithm,Time Ran,Profit,Optional Profit,Tasks Scheduled,Required Tasks Scheduled,Optional Tasks Scheduled,Waiting Time,Working Time,Distance Traveled,Test Name,Available Tasks,Days,Average Duration of Tasks,Average Time Windows Per Task,Average Length of Time Windows,Available Release Tasks,VNS Incumbent Profit,intProg Optimal
GBOOBD,0.03176403045654297,19534.0,169.0,48,15,33,304.0,2298.0,1313,test_oneTwentyEightTask_0.csv,128,3,61.984375,2.9375,206,0,,
GBOFRT,0.024692058563232422,19603.0,238.0,46,15,31,324.0,2395.0,1270,test_oneTwentyEightTask_0.csv,128,3,61.984375,2.9375,206,0,,
GBOPOA,0.023922204971313477,19603.0,238.0,47,15,32,358.0,2442.0,1159,test_oneTwentyEightTask_0.csv,128,3,61.984375,2.9375,206,0,,
GBOOBP,0.024482011795043945,19603.0,238.0,46,15,31,324.0,2395.0,1270,test_oneTwentyEightTask_0.csv,128,3,61.984375,2.9375,206,0,,
GPC,0.439039945602417,9266.0,229.0,50,7,43,396.0,2318.0,1258,test_oneTwentyEightTask_0.csv,128,3,61.984375,2.9375,206,0,,
Pulse,3600.1693291664124,13101.0,191.0,45,10,35,137.0,2512.0,1195,test_oneTwentyEightTask_0.csv,128,3,61.984375,2.9375,206,0,,
VNS,3600.742812871933,19608.0,243.0,48,15,33,113.0,2517.0,1272,test_oneTwentyEightTask_0.csv,128,3,61.984375,2.9375,206,0,19603.0,
TRI,3600.014461040497,15703.0,211.0,48,12,36,241.0,2506.0,1295,test_oneTwentyEightTask_0.csv,128,3,61.984375,2.9375,206,0,,
IP,3629.040853023529,17074.0,291.0,57,13,44,65.00000000000682,2509.0,1532,test_oneTwentyEightTask_0.csv,128,3,61.984375,2.9375,206,0,,False
GBOOBD,0.02490401268005371,20863.0,207.0,53,16,37,163.0,2349.0,1432,test_oneTwentyEightTask_1.csv,128,3,62.9765625,3.3125,209,0,,
GBOFRT,0.0258481502532959,20929.0,273.0,50,16,34,364.0,2354.0,1240,test_oneTwentyEightTask_1.csv,128,3,62.9765625,3.3125,209,0,,
GBOPOA,0.02590799331665039,20894.0,238.0,47,16,31,280.0,2407.0,1270,test_oneTwentyEightTask_1.csv,128,3,62.9765625,3.3125,209,0,,
GBOOBP,0.025207996368408203,20929.0,273.0,50,16,34,364.0,2354.0,1240,test_oneTwentyEightTask_1.csv,128,3,62.9765625,3.3125,209,0,,
GPC,0.45519399642944336,6684.0,229.0,48,5,43,325.0,2342.0,1341,test_oneTwentyEightTask_1.csv,128,3,62.9765625,3.3125,209,0,,
Pulse,3600.469146966934,10474.0,146.0,33,8,25,1045.0,1759.0,923,test_oneTwentyEightTask_1.csv,128,3,62.9765625,3.3125,209,0,,
VNS,3634.31879901886,20939.0,283.0,52,16,36,93.0,2497.0,1240,test_oneTwentyEightTask_1.csv,128,3,62.9765625,3.3125,209,0,20929.0,
TRI,3600.019311904907,18300.0,226.0,49,14,35,239.0,2528.0,1231,test_oneTwentyEightTask_1.csv,128,3,62.9765625,3.3125,209,0,,
IP,3631.0036640167236,6544.0,89.0,21,5,16,1445.0000000000055,1128.0,608,test_oneTwentyEightTask_1.csv,128,3,62.9765625,3.3125,209,0,,False
