Algorithm,Time Ran,Profit,Optional Profit,Tasks Scheduled,Required Tasks Scheduled,Optional Tasks Scheduled,Waiting Time,Working Time,Distance Traveled,Test Name,Available Tasks,Days,Average Duration of Tasks,Average Time Windows Per Task,Average Length of Time Windows,Available Release Tasks,VNS Incumbent Profit,intProg Optimal
GBOOBD,0.008332014083862305,5410.0,202.0,46,8,38,236.0,2398.0,1206,test_baseline_0.csv,64,3,58.28125,2.640625,218,0,,
GBOFRT,0.007986068725585938,5436.0,228.0,42,8,34,523.0,2197.0,1032,test_baseline_0.csv,64,3,58.28125,2.640625,218,0,,
GBOPOA,0.007905960083007812,5437.0,229.0,43,8,35,519.0,2237.0,1150,test_baseline_0.csv,64,3,58.28125,2.640625,218,0,,
GBOOBP,0.008430004119873047,5436.0,228.0,42,8,34,523.0,2197.0,1032,test_baseline_0.csv,64,3,58.28125,2.640625,218,0,,
GPC,0.12487101554870605,2158.0,205.0,41,3,38,734.0,2190.0,894,test_baseline_0.csv,64,3,58.28125,2.640625,218,0,,
Pulse,1800.0540888309479,2171.0,218.0,39,3,36,644.0,2161.0,1055,test_baseline_0.csv,64,3,58.28125,2.640625,218,0,,
VNS,1800.2525188922882,5442.0,234.0,46,8,38,88.0,2411.0,1292,test_baseline_0.csv,64,3,58.28125,2.640625,218,0,5437.0,
TRI,1800.004191160202,5420.0,212.0,43,8,35,505.0,2320.0,1075,test_baseline_0.csv,64,3,58.28125,2.640625,218,0,,
IP,1805.5529339313507,5458.0,250.0,49,8,41,174.00000000000188,2606.0,1196,test_baseline_0.csv,64,3,58.28125,2.640625,218,0,,False
GBOOBD,0.010176897048950195,5380.0,172.0,40,8,32,518.0,2139.0,1250,test_baseline_1.csv,64,3,59.890625,3.046875,215,0,,
GBOFRT,0.008563041687011719,5427.0,219.0,40,8,32,682.0,2033.0,1118,test_baseline_1.csv,64,3,59.890625,3.046875,215,0,,
GBOPOA,0.010359048843383789,5432.0,224.0,41,8,33,471.0,2304.0,1190,test_baseline_1.csv,64,3,59.890625,3.046875,215,0,,
GBOOBP,0.009578227996826172,5427.0,219.0,40,8,32,682.0,2033.0,1118,test_baseline_1.csv,64,3,59.890625,3.046875,215,0,,
GPC,0.12298393249511719,4096.0,190.0,41,6,35,451.0,2162.0,1240,test_baseline_1.csv,64,3,59.890625,3.046875,215,0,,
Pulse,1800.1879708766937,4078.0,172.0,33,6,27,846.0,1767.0,962,test_baseline_1.csv,64,3,59.890625,3.046875,215,0,,
VNS,1816.8879261016846,5460.0,252.0,48,8,40,36.0,2627.0,1260,test_baseline_1.csv,64,3,59.890625,3.046875,215,0,5432.0,
TRI,1800.003310918808,5438.0,230.0,47,8,39,265.0,2494.0,1253,test_baseline_1.csv,64,3,59.890625,3.046875,215,0,,
IP,1805.7158999443054,5468.0,260.0,49,8,41,78.99999999999903,2648.0,1300,test_baseline_1.csv,64,3,59.890625,3.046875,215,0,,False
GBOOBD,0.008810997009277344,5424.0,216.0,42,8,34,395.0,2476.0,1069,test_baseline_2.csv,64,3,66.703125,2.953125,218,0,,
GBOFRT,0.009187936782836914,5434.0,226.0,40,8,32,584.0,2358.0,1093,test_baseline_2.csv,64,3,66.703125,2.953125,218,0,,
GBOPOA,0.009361028671264648,5437.0,229.0,41,8,33,527.0,2555.0,961,test_baseline_2.csv,64,3,66.703125,2.953125,218,0,,
GBOOBP,0.009624958038330078,5434.0,226.0,40,8,32,584.0,2358.0,1093,test_baseline_2.csv,64,3,66.703125,2.953125,218,0,,
GPC,0.11132097244262695,2796.0,192.0,38,4,34,768.0,2170.0,938,test_baseline_2.csv,64,3,66.703125,2.953125,218,0,,
Pulse,1800.2131950855255,4104.0,198.0,37,6,31,455.0,2289.0,998,test_baseline_2.csv,64,3,66.703125,2.953125,218,0,,
VNS,1818.220596075058,5456.0,248.0,45,8,37,112.0,2811.0,1103,test_baseline_2.csv,64,3,66.703125,2.953125,218,0,5437.0,
TRI,1800.0058810710907,5449.0,241.0,45,8,37,317.0,2602.0,1098,test_baseline_2.csv,64,3,66.703125,2.953125,218,0,,
IP,1805.5962450504303,5479.0,271.0,48,8,40,138.00000000000304,2857.0,1095,test_baseline_2.csv,64,3,66.703125,2.953125,218,0,,False
GBOOBD,0.009495019912719727,5364.0,156.0,37,8,29,520.0,2280.0,1141,test_baseline_3.csv,64,3,68.15625,3.4375,210,0,,
GBOFRT,0.008589029312133789,5414.0,206.0,38,8,30,338.0,2489.0,1136,test_baseline_3.csv,64,3,68.15625,3.4375,210,0,,
GBOPOA,0.008629798889160156,5394.0,186.0,35,8,27,783.0,2144.0,1060,test_baseline_3.csv,64,3,68.15625,3.4375,210,0,,
GBOOBP,0.008664131164550781,5414.0,206.0,38,8,30,338.0,2489.0,1136,test_baseline_3.csv,64,3,68.15625,3.4375,210,0,,
GPC,0.1193699836730957,2795.0,191.0,39,4,35,398.0,2424.0,1126,test_baseline_3.csv,64,3,68.15625,3.4375,210,0,,
Pulse,1800.1695110797882,4046.0,140.0,29,6,23,1038.0,1503.0,927,test_baseline_3.csv,64,3,68.15625,3.4375,210,0,,
VNS,1813.5680139064789,5428.0,220.0,41,8,33,108.0,2706.0,1145,test_baseline_3.csv,64,3,68.15625,3.4375,210,0,5414.0,
TRI,1800.0068709850311,5419.0,211.0,39,8,31,379.0,2421.0,1155,test_baseline_3.csv,64,3,68.15625,3.4375,210,0,,
IP,1806.3319690227509,5456.0,248.0,45,8,37,125.00000000000296,2920.0,1092,test_baseline_3.csv,64,3,68.15625,3.4375,210,0,,False
