Algorithm,Time Ran,Profit,Optional Profit,Tasks Scheduled,Required Tasks Scheduled,Optional Tasks Scheduled,Waiting Time,Working Time,Distance Traveled,Test Name,Available Tasks,Days,Average Duration of Tasks,Average Time Windows Per Task,Average Length of Time Windows,Available Release Tasks,VNS Incumbent Profit,intProg Optimal
GBOOBD,0.07393789291381836,82451.0,179.0,63,32,31,113.0,2728.0,1273,test_twoFiftySixTask_3.csv,256,3,59.28515625,3.125,212,0,,
GBOFRT,0.07017993927001953,82491.0,219.0,59,32,27,144.0,2736.0,1210,test_twoFiftySixTask_3.csv,256,3,59.28515625,3.125,212,0,,
GBOPOA,0.0642709732055664,77333.0,203.0,60,30,30,235.0,2627.0,1303,test_twoFiftySixTask_3.csv,256,3,59.28515625,3.125,212,0,,
GBOOBP,0.06639289855957031,82491.0,219.0,59,32,27,144.0,2736.0,1210,test_twoFiftySixTask_3.csv,256,3,59.28515625,3.125,212,0,,
GPC,1.3840420246124268,15700.0,274.0,55,6,49,201.0,2510.0,1480,test_twoFiftySixTask_3.csv,256,3,59.28515625,3.125,212,0,,
VNS,302.7221658229828,82495.0,223.0,60,32,28,84.0,2772.0,1212,test_twoFiftySixTask_3.csv,256,3,59.28515625,3.125,212,0,82491.0,
TRI,300.053297996521,38814.0,249.0,56,15,41,179.0,2629.0,1349,test_twoFiftySixTask_3.csv,256,3,59.28515625,3.125,212,0,,
IP,479.0401220321655,10395.0,111.0,26,4,22,1546.0000000000032,1393.0,695,test_twoFiftySixTask_3.csv,256,3,59.28515625,3.125,212,0,,False
GBOOBD,0.052227020263671875,5513.0,305.0,64,8,56,2056.0,4245.0,1758,test_sevenDay_4.csv,64,7,66.328125,6.4375,211,0,,
GBOFRT,0.01081705093383789,5509.0,301.0,62,8,54,2077.0,4032.0,1788,test_sevenDay_4.csv,64,7,66.328125,6.4375,211,0,,
GBOPOA,0.010545969009399414,5513.0,305.0,64,8,56,2291.0,4245.0,1771,test_sevenDay_4.csv,64,7,66.328125,6.4375,211,0,,
GBOOBP,0.010715961456298828,5509.0,301.0,62,8,54,2077.0,4032.0,1788,test_sevenDay_4.csv,64,7,66.328125,6.4375,211,0,,
GPC,0.16393709182739258,5511.0,303.0,63,8,55,2499.0,4132.0,1567,test_sevenDay_4.csv,64,7,66.328125,6.4375,211,0,,
VNS,301.5154628753662,5513.0,305.0,64,8,56,1392.0,4245.0,1771,test_sevenDay_4.csv,64,7,66.328125,6.4375,211,0,5513.0,
TRI,300.00747895240784,5513.0,305.0,64,8,56,2063.0,4245.0,1532,test_sevenDay_4.csv,64,7,66.328125,6.4375,211,0,,
IP,127.96540904045105,5513.0,305.0,64,8,56,2768.000000000004,4245.0,1788,test_sevenDay_4.csv,64,7,66.328125,6.4375,211,0,,True
GBOOBD,0.04631805419921875,3487.0,232.0,44,5,39,717.0,2154.0,1142,test_sixteenDependencies_4.csv,64,3,56.328125,2.828125,217,16,,
GBOFRT,0.007757902145385742,5439.0,231.0,43,8,35,471.0,2314.0,1133,test_sixteenDependencies_4.csv,64,3,56.328125,2.828125,217,16,,
GBOPOA,0.0060749053955078125,3485.0,230.0,41,5,36,500.0,2291.0,1146,test_sixteenDependencies_4.csv,64,3,56.328125,2.828125,217,16,,
GBOOBP,0.006867885589599609,3491.0,236.0,40,5,35,461.0,2433.0,994,test_sixteenDependencies_4.csv,64,3,56.328125,2.828125,217,16,,
GPC,0.10727310180664062,3488.0,233.0,44,5,39,563.0,2213.0,1168,test_sixteenDependencies_4.csv,64,3,56.328125,2.828125,217,16,,
VNS,302.8754370212555,4824.0,267.0,46,7,39,149.0,2660.0,1053,test_sixteenDependencies_4.csv,64,3,56.328125,2.828125,217,16,3491.0,
TRI,300.0034329891205,5445.0,237.0,45,8,37,481.0,2476.0,999,test_sixteenDependencies_4.csv,64,3,56.328125,2.828125,217,16,,
IP,305.3692009449005,5490.0,282.0,52,8,44,126.00000000000145,2553.0,1311,test_sixteenDependencies_4.csv,64,3,56.328125,2.828125,217,16,,False
GBOOBD,0.04423713684082031,9939.0,174.0,45,15,30,361.0,2511.0,1062,test_sixteenRequired_4.csv,64,3,64.75,2.953125,209,0,,
GBOFRT,0.009021997451782227,9943.0,178.0,40,15,25,700.0,2099.0,1039,test_sixteenRequired_4.csv,64,3,64.75,2.953125,209,0,,
GBOPOA,0.008418083190917969,10587.0,171.0,41,16,25,781.0,2232.0,945,test_sixteenRequired_4.csv,64,3,64.75,2.953125,209,0,,
GBOOBP,0.008465051651000977,9943.0,178.0,40,15,25,700.0,2099.0,1039,test_sixteenRequired_4.csv,64,3,64.75,2.953125,209,0,,
GPC,0.12266397476196289,6035.0,176.0,40,9,31,536.0,2326.0,1099,test_sixteenRequired_4.csv,64,3,64.75,2.953125,209,0,,
VNS,301.72588300704956,10602.0,186.0,45,16,29,395.0,2439.0,1030,test_sixteenRequired_4.csv,64,3,64.75,2.953125,209,0,10587.0,
TRI,300.0059390068054,10589.0,173.0,45,16,29,230.0,2448.0,1246,test_sixteenRequired_4.csv,64,3,64.75,2.953125,209,0,,
IP,305.40576100349426,10610.0,194.0,47,16,31,110.0,2758.0,1150,test_sixteenRequired_4.csv,64,3,64.75,2.953125,209,0,,False
