Algorithm,Time Ran,Profit,Optional Profit,Tasks Scheduled,Required Tasks Scheduled,Optional Tasks Scheduled,Waiting Time,Working Time,Distance Traveled,Test Name,Available Tasks,Days,Average Duration of Tasks,Average Time Windows Per Task,Average Length of Time Windows,Available Release Tasks,VNS Incumbent Profit,intProg Optimal
GBOOBD,0.02233290672302246,5402.0,194.0,43,8,35,254.0,2645.0,1079,test_baseline_5.csv,64,3,64.03125,2.890625,211,0,,
GBOFRT,0.008358001708984375,5423.0,215.0,38,8,30,480.0,2422.0,964,test_baseline_5.csv,64,3,64.03125,2.890625,211,0,,
GBOPOA,0.008779048919677734,5427.0,219.0,40,8,32,534.0,2360.0,944,test_baseline_5.csv,64,3,64.03125,2.890625,211,0,,
GBOOBP,0.008485794067382812,5423.0,215.0,38,8,30,480.0,2422.0,964,test_baseline_5.csv,64,3,64.03125,2.890625,211,0,,
GPC,0.12994599342346191,3476.0,221.0,43,5,38,510.0,2267.0,1115,test_baseline_5.csv,64,3,64.03125,2.890625,211,0,,
Pulse,300.1049020290375,4703.0,146.0,30,7,23,1247.0,1432.0,714,test_baseline_5.csv,64,3,64.03125,2.890625,211,0,,
VNS,300.2817370891571,5449.0,241.0,46,8,38,85.0,2765.0,1056,test_baseline_5.csv,64,3,64.03125,2.890625,211,0,5427.0,
TRI,300.00810289382935,5424.0,216.0,42,8,34,433.0,2369.0,1094,test_baseline_5.csv,64,3,64.03125,2.890625,211,0,,
IP,305.4780640602112,5462.0,254.0,49,8,41,21.999999999997925,2948.0,1125,test_baseline_5.csv,64,3,64.03125,2.890625,211,0,,False
GBOOBD,0.04783320426940918,5526.0,318.0,62,8,54,1090.0,3487.0,1694,test_fiveDay_5.csv,64,5,58.0,4.484375,197,0,,
GBOFRT,0.008936166763305664,5524.0,316.0,59,8,51,1176.0,3392.0,1646,test_fiveDay_5.csv,64,5,58.0,4.484375,197,0,,
GBOPOA,0.008551836013793945,5521.0,313.0,58,8,50,1223.0,3205.0,1636,test_fiveDay_5.csv,64,5,58.0,4.484375,197,0,,
GBOOBP,0.008873939514160156,5524.0,316.0,59,8,51,1176.0,3392.0,1646,test_fiveDay_5.csv,64,5,58.0,4.484375,197,0,,
GPC,0.15874695777893066,5501.0,293.0,57,8,49,1438.0,3069.0,1484,test_fiveDay_5.csv,64,5,58.0,4.484375,197,0,,
Pulse,300.1040909290314,5524.0,316.0,60,8,52,1032.0,3433.0,1915,test_fiveDay_5.csv,64,5,58.0,4.484375,197,0,,
VNS,302.66371297836304,5534.0,326.0,63,8,55,635.0,3593.0,1739,test_fiveDay_5.csv,64,5,58.0,4.484375,197,0,5526.0,
TRI,300.0077950954437,5532.0,324.0,61,8,53,795.0,3487.0,1853,test_fiveDay_5.csv,64,5,58.0,4.484375,197,0,,
IP,312.553927898407,5536.0,328.0,62,8,54,1141.9999999999995,3517.0,1707,test_fiveDay_5.csv,64,5,58.0,4.484375,197,0,,False
GBOOBD,0.0494999885559082,5252.0,44.0,16,8,8,37.0,816.0,564,test_oneDay_5.csv,64,1,59.734375,1.5625,208,0,,
GBOFRT,0.007351875305175781,5267.0,59.0,15,8,7,85.0,888.0,444,test_oneDay_5.csv,64,1,59.734375,1.5625,208,0,,
GBOPOA,0.00739598274230957,5264.0,56.0,16,8,8,159.0,780.0,432,test_oneDay_5.csv,64,1,59.734375,1.5625,208,0,,
GBOOBP,0.007403850555419922,5267.0,59.0,15,8,7,85.0,888.0,444,test_oneDay_5.csv,64,1,59.734375,1.5625,208,0,,
GPC,0.053420066833496094,1382.0,80.0,17,2,15,104.0,794.0,503,test_oneDay_5.csv,64,1,59.734375,1.5625,208,0,,
Pulse,300.098925113678,3969.0,63.0,18,6,12,83.0,906.0,412,test_oneDay_5.csv,64,1,59.734375,1.5625,208,0,,
VNS,303.9936239719391,5272.0,64.0,17,8,9,30.0,912.0,469,test_oneDay_5.csv,64,1,59.734375,1.5625,208,0,5267.0,
TRI,300.0034098625183,4622.0,65.0,19,7,12,138.0,715.0,484,test_oneDay_5.csv,64,1,59.734375,1.5625,208,0,,
IP,302.01745104789734,3977.0,71.0,19,6,13,27.0,932.0,453,test_oneDay_5.csv,64,1,59.734375,1.5625,208,0,,False
GBOOBD,0.045693159103393555,54129.0,2121.0,47,8,39,446.0,2327.0,1226,test_oneHundredPriority_5.csv,64,3,55.171875,2.953125,209,0,,
GBOFRT,0.007673978805541992,54284.0,2276.0,44,8,36,543.0,2147.0,1086,test_oneHundredPriority_5.csv,64,3,55.171875,2.953125,209,0,,
GBOPOA,0.0076901912689208984,54361.0,2353.0,45,8,37,616.0,2158.0,1260,test_oneHundredPriority_5.csv,64,3,55.171875,2.953125,209,0,,
GBOOBP,0.007734060287475586,54284.0,2276.0,44,8,36,543.0,2147.0,1086,test_oneHundredPriority_5.csv,64,3,55.171875,2.953125,209,0,,
GPC,0.12960195541381836,34668.0,2163.0,44,5,39,719.0,2130.0,1071,test_oneHundredPriority_5.csv,64,3,55.171875,2.953125,209,0,,
Pulse,300.06773495674133,33864.0,1359.0,31,5,26,1186.0,1536.0,689,test_oneHundredPriority_5.csv,64,3,55.171875,2.953125,209,0,,
VNS,301.5467450618744,54441.0,2433.0,48,8,40,283.0,2293.0,1356,test_oneHundredPriority_5.csv,64,3,55.171875,2.953125,209,0,54361.0,
TRI,300.006227016449,54352.0,2344.0,48,8,40,317.0,2305.0,1251,test_oneHundredPriority_5.csv,64,3,55.171875,2.953125,209,0,,
IP,307.07800006866455,54480.0,2472.0,48,8,40,251.99999999999955,2331.0,1387,test_oneHundredPriority_5.csv,64,3,55.171875,2.953125,209,0,,False
GBOOBD,0.04496192932128906,5339.0,131.0,33,8,25,247.0,2065.0,1600,test_oneHundredTwentyLocation_5.csv,64,3,69.65625,2.9375,217,0,,
GBOFRT,0.008089065551757812,5375.0,167.0,31,8,23,362.0,2003.0,1572,test_oneHundredTwentyLocation_5.csv,64,3,69.65625,2.9375,217,0,,
