xCoord	yCoord	releaseTime	duration	deadline	priority	required	timeWindows	dependencyTasks
12	34	4698	163	6235	2	0	[[], [], [], [(5068, 5545), (5569, 5747)], [(5914, 6128)]]	[]
47	46	2563	18	4058	3	0	[[], [(2774, 2849), (2860, 2879)], [(3837, 3920), (4023, 4056)], [], []]	[]
37	58	2987	164	5457	94	1	[[], [], [(3688, 4255)], [(4568, 5448)], []]	[]
57	16	4642	10	5154	2	0	[[], [], [], [(5066, 5147)], []]	[]
41	41	1178	28	1711	3	0	[[(1315, 1387), (1403, 1433)], [(1481, 1617), (1657, 1685)], [], [], []]	[]
1	44	4765	190	5511	2	0	[[], [], [], [(5169, 5455)], []]	[]
10	43	5418	42	7130	2	0	[[], [], [], [(5601, 5674), (5674, 5739)], [(6029, 6096), (6380, 6806), (6929, 7034)]]	[]
45	27	3204	176	5921	2	0	[[], [], [(4000, 4192)], [(4427, 5316), (5421, 5726)], []]	[]
4	50	1466	39	2199	3	0	[[], [(1692, 1942), (2041, 2148), (2158, 2197)], [], [], []]	[]
17	49	5386	189	5717	1	0	[[], [], [], [(5515, 5710)], []]	[]
55	46	4184	76	4804	2	0	[[], [], [(4205, 4285)], [(4389, 4555), (4637, 4774)], []]	[]
56	58	1500	37	4553	3	0	[[], [(1795, 2394), (2655, 2815), (2828, 2868)], [(3786, 4263), (4275, 4319)], [(4511, 4551)], []]	[]
14	58	5501	41	6501	1	0	[[], [], [], [(5628, 5673), (5701, 5746)], [(6309, 6383), (6446, 6488)]]	[]
26	19	1498	187	3331	1	0	[[], [(2241, 2453), (2463, 2782)], [(2977, 3244)], [], []]	[]
40	6	4183	19	5539	94	1	[[], [], [(4279, 4309)], [(4573, 4849), (5023, 5392), (5425, 5459)], []]	[]
42	48	2015	54	4936	3	0	[[], [(2563, 2849)], [(3345, 3564), (3724, 3998), (4155, 4312)], [(4846, 4906)], []]	[]
54	22	2847	137	5893	94	1	[[], [], [(3523, 3879), (3889, 4224)], [(4883, 5491), (5511, 5698)], []]	[14]
45	56	4493	174	5488	94	1	[[], [], [], [(4548, 4797), (5225, 5458)], []]	[]
42	33	816	142	5767	1	0	[[(1215, 1423)], [(2617, 2771)], [(3786, 4280)], [(4813, 5007), (5139, 5591), (5604, 5749)], []]	[]
22	31	4249	56	7155	2	0	[[], [], [(4263, 4319)], [(4883, 5472), (5658, 5741)], [(6135, 6636), (6823, 7063), (7076, 7154)]]	[]
17	57	4589	133	6850	1	0	[[], [], [], [(5003, 5228), (5366, 5555), (5589, 5756)], [(6183, 6351), (6676, 6835)]]	[]
18	42	4840	173	5369	2	0	[[], [], [], [(5064, 5242)], []]	[]
54	26	1389	2	3552	2	0	[[(1391, 1403), (1408, 1437), (1437, 1439)], [(1877, 2036), (2192, 2812), (2876, 2879)], [(3319, 3516), (3540, 3552)], [], []]	[]
9	34	991	83	4116	3	0	[[(1327, 1430)], [(2323, 2853)], [(3786, 4067)], [], []]	[]
16	35	841	116	1509	3	0	[[(1208, 1420)], [], [], [], []]	[]
48	6	2710	167	5023	3	0	[[], [(2711, 2879)], [(3863, 4183)], [(4382, 4663), (4772, 5021)], []]	[]
14	3	3187	87	4090	3	0	[[], [], [(3253, 3721), (3904, 4014)], [], []]	[]
27	59	5065	82	5439	1	0	[[], [], [], [(5166, 5316), (5357, 5439)], []]	[]
48	60	958	80	5462	3	0	[[(1294, 1374)], [(2099, 2839)], [(3194, 4068), (4145, 4250)], [(5098, 5213), (5301, 5453)], []]	[]
14	32	3963	165	6022	1	0	[[], [], [(4078, 4310)], [(4492, 4682), (4981, 5361), (5376, 5754)], [(5845, 6019)]]	[]
