xCoord,yCoord,releaseTime,duration,deadline,priority,required,timeWindows,dependencyTasks
53,47,576,163,1315,3,0,"[[(921, 1309)], [], []]",[4]
50,30,1330,13,3870,3,0,"[[(1400, 1427)], [(2681, 2777), (2784, 2816), (2832, 2859)], [(3618, 3649), (3667, 3855), (3856, 3870)]]",[]
34,16,3778,6,4213,3,0,"[[], [], [(4175, 4193), (4205, 4212)]]",[]
30,33,3182,39,3311,1,0,"[[], [], [(3241, 3295)]]",[]
16,17,1190,143,2388,3,0,"[[(1275, 1429)], [(2051, 2267)], []]",[]
0,35,4005,98,4317,3,0,"[[], [], [(4208, 4311)]]",[3]
28,23,2130,81,2395,3,0,"[[], [(2280, 2388)], []]",[]
54,47,1003,162,2437,1,0,"[[(1013, 1338)], [(1644, 2302)], []]",[]
21,52,2594,156,3265,3,0,"[[], [(2699, 2867)], [(2975, 3230)]]",[]
9,4,3895,183,4090,3,0,"[[], [], [(3901, 4086)]]",[14]
39,41,3024,192,4097,1,0,"[[], [], [(3652, 4064)]]",[]
34,13,1264,58,1569,2,0,"[[(1340, 1419)], [(1495, 1565)], []]",[12]
59,31,1880,198,3803,3,0,"[[], [(2537, 2736)], [(3216, 3673)]]",[]
24,45,1430,87,4305,3,0,"[[], [(1989, 2302), (2471, 2651), (2671, 2861)], [(3730, 4058), (4214, 4305)]]",[]
32,9,3837,103,4143,1,0,"[[], [], [(3971, 4088)]]",[]
57,6,2511,73,3116,3,0,"[[], [(2674, 2747), (2778, 2879)], [(3043, 3116)]]",[]
31,6,951,15,2668,3,0,"[[(1006, 1045), (1337, 1420), (1421, 1437)], [(1507, 1598), (2534, 2610), (2630, 2653)], []]",[10]
1,8,1117,119,3946,2,0,"[[(1316, 1435)], [(1553, 2627), (2657, 2829)], [(3672, 3804), (3819, 3946)]]",[6]
35,12,327,14,1191,2,0,"[[(983, 1111), (1117, 1173), (1174, 1188)], [], []]",[7]
19,2,1530,102,3457,1,0,"[[], [(1550, 1710), (2273, 2606), (2703, 2809)], [(3018, 3330), (3334, 3452)]]",[8]
