xCoord,yCoord,releaseTime,duration,deadline,priority,required,timeWindows,dependencyTasks
19,25,1455,67,7085,9,0,"[[], [(1455, 1648), (1845, 2134)], [(3265, 3367)], [(4885, 5037)], [(6054, 6390), (6770, 7085)]]",[]
11,59,3817,120,4001,5,0,"[[], [], [(3817, 4001)], [], []]",[]
50,19,71,36,220,9,0,"[[(71, 220)], [], [], [], []]",[]
48,11,906,49,6323,9,0,"[[(906, 1202), (1228, 1358)], [(1598, 1896), (2324, 2569)], [(3951, 4284)], [(5398, 5521)], [(5794, 5900), (6045, 6323)]]",[]
20,33,2292,21,2409,3,0,"[[], [(2292, 2409)], [], [], []]",[]
29,59,456,70,3663,3,0,"[[(456, 780)], [(1975, 2290)], [(2936, 3169), (3487, 3663)], [], []]",[]
46,44,4328,79,7136,7,0,"[[], [], [], [(4328, 4469), (4648, 4802)], [(6537, 6868), (6876, 7136)]]",[]
23,1,1826,6,6748,9,0,"[[], [(1826, 2058), (2321, 2598)], [], [(4698, 4736), (5229, 5313)], [(6479, 6748)]]",[]
12,32,806,2,6758,7,0,"[[(806, 983)], [(1857, 2059)], [(3172, 3396)], [(4898, 4957), (5051, 5386)], [(6203, 6447), (6739, 6758)]]",[]
1,20,2127,3,2740,2,0,"[[], [(2127, 2392), (2498, 2740)], [], [], []]",[]
7,11,128,39,7012,2,0,"[[(128, 482), (929, 1054)], [(1588, 1863), (2508, 2685)], [(2929, 3283), (3411, 3471)], [(5091, 5294), (5474, 5560)], [(6799, 7012)]]",[]
12,14,3984,43,4155,6,0,"[[], [], [(3984, 4155)], [], []]",[]
17,7,305,34,3894,6,0,"[[(305, 448)], [], [(3127, 3480), (3570, 3894)], [], []]",[]
56,40,2437,31,6966,3,0,"[[], [(2437, 2773)], [], [(4878, 5233), (5374, 5523)], [(6811, 6966)]]",[]
5,36,2276,111,7081,1,0,"[[], [(2276, 2449), (2460, 2722)], [(3375, 3644), (3778, 4004)], [], [(6759, 7081)]]",[]
55,13,1099,63,7181,7,0,"[[(1099, 1395)], [(2423, 2552), (2565, 2861)], [], [], [(6545, 6807), (6882, 7181)]]",[]
45,48,3027,17,4029,9,0,"[[], [], [(3027, 3070), (3670, 4029)], [], []]",[]
51,1,1803,41,5601,1,0,"[[], [(1803, 2081)], [], [(4911, 4997), (5511, 5601)], []]",[]
26,12,1572,116,2088,2,0,"[[], [(1572, 1889), (1889, 2088)], [], [], []]",[]
25,55,1130,48,6708,651,1,"[[(1130, 1262)], [(2227, 2494)], [], [(4557, 4720)], [(5865, 6048), (6408, 6708)]]",[]
57,3,2974,41,7088,7,0,"[[], [], [(2974, 3117)], [], [(6277, 6485), (6812, 7088)]]",[]
17,18,980,28,5757,8,0,"[[(980, 1250)], [], [], [(4691, 4805), (5401, 5757)], []]",[]
55,55,797,14,6855,8,0,"[[(797, 968)], [(1982, 2248), (2295, 2586)], [(2892, 2942), (2970, 3169)], [(4937, 5025)], [(5821, 5862), (6833, 6855)]]",[]
56,51,1837,71,5517,10,0,"[[], [(1837, 2148), (2282, 2628)], [], [(4578, 4873), (5342, 5517)], []]",[]
11,31,239,16,6871,651,1,"[[(239, 505), (1332, 1381)], [(1443, 1637), (1859, 1886)], [(3246, 3491)], [(5376, 5438), (5510, 5664)], [(6737, 6871)]]",[]
11,44,434,33,7012,5,0,"[[(434, 760), (1125, 1315)], [], [], [(5237, 5327)], [(6124, 6213), (6784, 7012)]]",[]
17,38,44,3,1353,9,0,"[[(44, 70), (1122, 1353)], [], [], [], []]",[]
25,37,1943,38,7086,651,1,"[[], [(1943, 2082), (2294, 2495)], [(3428, 3725), (3822, 4174)], [(5294, 5445)], [(6417, 6596), (6940, 7086)]]",[]
33,0,732,94,7002,7,0,"[[(732, 880), (1082, 1359)], [(1917, 2135)], [(3767, 3924)], [(4754, 4936), (5121, 5480)], [(6203, 6555), (6776, 7002)]]",[]
4,41,6946,30,7032,10,0,"[[], [], [], [], [(6946, 7032)]]",[]
4,3,738,103,6777,8,0,"[[(738, 1041)], [(2549, 2829)], [(3883, 4212)], [(4437, 4790), (5278, 5602)], [(5861, 6141), (6446, 6777)]]",[]
50,53,1538,15,2841,6,0,"[[], [(1538, 1603), (2719, 2841)], [], [], []]",[]
26,24,610,103,1796,5,0,"[[(610, 900), (1013, 1245)], [(1491, 1796)], [], [], []]",[]
44,53,199,47,6272,2,0,"[[(199, 305), (919, 1183)], [], [], [(4366, 4656), (5157, 5511)], [(5961, 6272)]]",[]
22,31,6826,72,7171,2,0,"[[], [], [], [], [(6826, 7171)]]",[]
9,58,1,8,6966,651,1,"[[(1, 351), (392, 443)], [(1741, 2029), (2134, 2147)], [(3858, 3986)], [(4663, 4753), (5217, 5345)], [(6651, 6966)]]",[]
20,58,705,23,6849,651,1,"[[(705, 868), (1017, 1127)], [(1704, 1965)], [(3490, 3803)], [], [(6631, 6849)]]",[]
51,39,1075,88,5513,3,0,"[[(1075, 1328)], [], [(3572, 3849), (3906, 4182)], [(5345, 5513)], []]",[]
59,57,409,63,665,9,0,"[[(409, 665)], [], [], [], []]",[]
44,23,152,117,430,9,0,"[[(152, 430)], [], [], [], []]",[]
27,47,2379,96,2731,2,0,"[[], [(2379, 2731)], [], [], []]",[]
