xCoord,yCoord,releaseTime,duration,deadline,priority,required,timeWindows,dependencyTasks
1,29,2383,106,2648,3,0,"[[], [(2506, 2627)]]",[7]
24,30,548,11,688,94,1,"[[(595, 658), (665, 685)], []]",[4]
24,10,1930,140,2369,2,0,"[[], [(2202, 2360)]]",[]
48,35,873,9,1152,3,0,"[[(914, 941), (991, 1031), (1090, 1132)], []]",[]
31,35,2370,196,2755,2,0,"[[], [(2475, 2728)]]",[]
24,60,577,179,1480,3,0,"[[(792, 1285)], []]",[18]
51,37,30,155,628,3,0,"[[(196, 449), (460, 616)], []]",[]
40,44,469,114,1123,2,0,"[[(958, 1074)], []]",[]
53,41,1603,53,2481,1,0,"[[], [(2049, 2432)]]",[21]
60,41,2107,125,2272,1,0,"[[], [(2144, 2271)]]",[]
47,23,276,134,2683,1,0,"[[(1027, 1380)], [(1937, 2592)]]",[]
18,21,1694,186,2849,2,0,"[[], [(2090, 2564), (2654, 2841)]]",[]
26,55,1999,91,2099,1,0,"[[], [(2003, 2095)]]",[27]
55,10,485,128,846,2,0,"[[(536, 831)], []]",[]
56,28,1294,66,1572,3,0,"[[(1307, 1405)], [(1480, 1549)]]",[13]
58,40,820,116,1390,2,0,"[[(862, 1264), (1272, 1390)], []]",[9]
12,49,750,104,2815,1,0,"[[(1205, 1354)], [(1960, 2164), (2523, 2811)]]",[29]
51,41,2622,54,2835,94,1,"[[], [(2728, 2819)]]",[11]
6,8,637,83,1808,3,0,"[[(1301, 1403)], [(1716, 1808)]]",[]
27,38,748,158,981,2,0,"[[(789, 956)], []]",[]
23,58,492,7,581,1,0,"[[(549, 558), (568, 578)], []]",[]
28,27,2450,159,2793,3,0,"[[], [(2474, 2662)]]",[]
11,38,567,65,2601,2,0,"[[(603, 746), (856, 1199), (1334, 1438)], [(1998, 2435), (2518, 2587)]]",[10]
57,5,1036,113,2062,94,1,"[[(1128, 1397)], [(1702, 1887), (1933, 2047)]]",[3]
21,17,1874,57,2201,1,0,"[[], [(2143, 2200)]]",[19]
3,46,1197,147,2421,3,0,"[[(1270, 1435)], [(2058, 2265), (2274, 2421)]]",[20]
49,17,244,197,2208,3,0,"[[(1215, 1415)], [(1866, 2141)]]",[6]
9,60,2045,196,2869,1,0,"[[], [(2228, 2713)]]",[]
23,21,1155,146,2448,2,0,"[[(1165, 1431)], [(2139, 2401)]]",[2]
42,44,455,143,2737,1,0,"[[(670, 1007), (1187, 1346)], [(1642, 1823), (2099, 2713)]]",[]
