xCoord,yCoord,releaseTime,duration,deadline,priority,required,timeWindows

52,7,1873,287,7071,6,0,"[[], [(2560, 2876)], [(3591, 4102)], [(4493, 5686)], [(6438, 6839)], [], []]"


33,27,4353,397,7081,10,0,"[[], [], [], [(5345, 5744)], [(6615, 7064)], [], []]"

31,56,5603,293,6195,1,0,"[[], [], [], [], [(5817, 6110)], [], []]"
27,40,6170,555,9612,6,0,"[[], [], [], [], [(6561, 7165)], [(7529, 8343)], [(8684, 9610)]]"

44,42,6708,630,9545,8,0,"[[], [], [], [], [], [(7712, 8633)], [(8915, 9545)]]"


