xCoord,yCoord,releaseTime,duration,deadline,priority,required,timeWindows,tasks Depended upon,name of Task,,,,Total Profit
4,6,780,70,860,330,1,"[[(780, 860)], [], [], [], [], [], []]",[],Phys 5a Monday,,,,2962.5
4,6,3660,70,3740,330,1,"[[], [], [(3660, 3740)], [], [], [], []]",[],Phys 5a Wednesday,,,,
4,6,6540,70,6620,330,1,"[[], [], [], [], [(6540, 6620)], [], []]",[],Phys 5a Friday,,,,
0,4,2040,120,2170,330,1,"[[], [(2040, 2170)], [], [], [], [], []]",[],Ed Studies Tuesday 10:10,,,,
0,4,4920,120,5050,330,1,"[[], [], [], [(4920, 5050)], [], [], []]",[],Ed Studies Thursday,,,,
4,6,2220,240,2470,330,1,"[[], [(2220, 2470], [], [], [], [], []]",[],Phys Lab Tuesday,,,,
2.5,6,5160,60,5230,330,1,"[[], [], [], [(5160, 5230)], [], [], []]",[],Comps meeting,,,,
2,6,1441,90,2870,10,0,"[[], [(1920, 2200), (2670, 2860)], [], [], [], [], []]",[],Physics Reading,,,,
2,6,4330,90,7200,10,0,"[[], [], [], [(4920, 5050), (5100, 5700)], [(5770, 7100)], [], []]",[],Physics Reading,,,,
0,0,8650,90,10080,10,0,"[[], [], [], [], [], [], [(8660, 10070)]]",[],Physics Reading,,,,
7,20,2700,110,2820,2,0,"[[(780, 860)], [], [], [], [], [], []]",[],Soccer Tuesday,,,,
0,0,1,480,490,10,0,"[[(1, 490)], [], [], [], [], [], []]",[],Sleep Mon,,,,
0,0,1441,480,1930,10,0,"[[], [(1441, 1930)], [], [], [], [], []]",[],Sleep Tues,,,,
0,0,2881,480,3370,10,0,"[[], [], [(2881, 3370)], [], [], [], []]",[],Sleep Wedn,,,,
0,0,4321,480,4810,10,0,"[[], [], [], [(4321, 4810)], [], [], []]",[],Sleep Thurs,,,,
0,0,5761,480,6250,10,0,"[[], [], [], [], [(5761, 6250)], [], []]",[],Sleep Fri,,,,
0,0,7201,480,7690,10,0,"[[], [], [], [], [], [(7201, 7690)], []]",[],Sleep Sat,,,,
0,0,8641,480,9130,10,0,"[[], [], [], [], [], [], [(8641, 9130)]]",[],Sleep Sun,,,,
5,5,8190,110,8310,3,0,"[[], [], [], [], [], [(8190, 8310)], []]",[],Soccer Sat,,,,
5,5,9540,60,9610,330,1,"[[], [], [], [], [], [], [(9540, 9610)]]",[],TopSoccer Sun,,,,
6,8,2640,110,2760,2,0,"[[], [(2640, 2760)], [], [], [], [], []]",[],Lax Tuesday,,,,
6,8,8100,110,8220,2,0,"[[], [], [], [], [], [(8100, 8220)], []]",[],Lax Saturday,,,,
0,0,7201,80,10070,8,0,"[[], [], [], [], [], [(7700, 8000), (8350, 8550)], [(9200, 9500), (9700, 10000)]]",[],Groceries,,,,
4,6,8641,170,10070,10,0,"[[], [], [], [], [], [], [(9200, 9500), (9700, 10000)]]",[],Phys HW,,,,
0,0,1020,30,1140,5,0,"[[(1020, 1140)], [], [], [], [], [], []]",[],Dinner Mon.,,,,
0,0,2460,30,2580,5,0,"[[], [(2460, 2580)], [], [], [], [], []]",[],Dinner Tues.,,,,
